gateway ID,node MAC,UTC timestamp,us count,frequency,RF chain,RX chain,status,size,modulation,bandwidth,datarate,coderate,RSSI,SNR,ESP,payload,gx,gy,gz,nx,ny,nz,hori_d,3d_d,i,j
B827EBFFFEEEC460,,2022-10-24 04:20:22.884Z,93545756,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6.25,-73.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:24.387Z,95048964,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,7,-75.79,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:25.892Z,96552180,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,5.5,-74.08,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:27.394Z,98055388,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.5,-75.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:28.899Z,99558596,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-77,6.75,-77.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:30.401Z,101061812,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,5.75,-73.02,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:31.903Z,102565028,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-71,5.5,-72.08,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:33.408Z,104068236,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-76,5.75,-77.02,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:34.911Z,105571452,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-72,6,-72.97,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:36.413Z,107074668,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,7.25,-75.75,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:37.918Z,108577892,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-78,6.75,-78.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:39.420Z,110081092,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.5,-75.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:40.923Z,111584300,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-75,6.25,-75.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:42.428Z,113087524,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6.75,-73.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:43.931Z,114590740,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-76,6.75,-76.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:45.433Z,116093948,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,7,-73.79,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:46.938Z,117597172,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-76,6.75,-76.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:48.440Z,119100388,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-76,5.5,-77.08,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:49.942Z,120603596,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-70,6.5,-70.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:51.448Z,122106812,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-74,6.25,-74.92,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:52.950Z,123610020,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-73,6.5,-73.88,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
B827EBFFFEEEC460,,2022-10-24 04:20:54.452Z,125113236,904300000,0,2,CRC_OK ,10,LORA,125000,SF12  ,4月5日,-69,6.75,-69.83,30303030-30303030-3030,9.76,4,10,49.76,4,0.45,40,41.12423252,40,0
