"gateway ID","node MAC","UTC timestamp","us count","frequency","RF chain","RX chain","status","size","modulation","bandwidth","datarate","coderate","RSSI","SNR","payload"
B827EBFFFEEEC460,,2022-09-09 15:28:33.703Z,444240236,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-103,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,30, +1.8, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:35.205Z,445740476,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,4,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,31, +1.8, +6.2"
B827EBFFFEEEC460,,2022-09-09 15:28:36.703Z,447240708,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,32, +1.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:38.205Z,448740908,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,4,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,33, +1.5, +5.5"
B827EBFFFEEEC460,,2022-09-09 15:28:39.704Z,450241148,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-100,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,34, +1.8, +5.8"
B827EBFFFEEEC460,,2022-09-09 15:28:41.205Z,451741380,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-102,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,35, +1.5, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:42.706Z,453241580,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-104,3.8,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,36, +2.0, +5.8"
B827EBFFFEEEC460,,2022-09-09 15:28:44.204Z,454741820,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,37, +1.8, +5.2"
B827EBFFFEEEC460,,2022-09-09 15:28:45.705Z,456242052,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-106,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,38, +2.0, +5.0"
B827EBFFFEEEC460,,2022-09-09 15:28:47.206Z,457742252,904300000,0,2,CRC_OK ,32,LORA,125000,SF10  ,44656,-105,3.5,"30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,30,30,30,-30,35,38,39, +2.2, +5.2"
